Safety_Violent,Safety_Prop,Gender,Race,District,Income,Edu,Age,YearsDallas,OwnHome
3,3,2,2,11,5,3,2,17,1
3,2,2,2,13,5,3,4,53,1
4,4,2,1,2,3,3,3,54,1
4,4,2,2,9,5,3,3,38,1
2,2,2,2,12,5,3,3,52,2
3,3,1,9,13,3,3,5,72,1
4,4,1,2,12,5,3,4,39,2
2,3,1,2,11,2,3,5,55,1
3,1,1,2,13,5,3,3,14,1
4,4,2,3,12,1,3,1,15,2
4,3,1,2,12,5,3,2,26,1
1,1,2,3,2,1,3,1,16,2
4,2,1,3,11,4,3,2,23,1
2,2,2,3,9,3,3,4,40,1
3,3,2,2,11,5,3,3,30,2
2,3,2,1,2,2,3,4,63,9
3,2,2,3,3,2,2,1,17,2
9,1,2,1,2,1,1,5,75,1
2,3,1,2,11,2,3,5,62,2
2,3,1,2,13,5,3,2,20,1
4,3,1,2,11,5,3,3,33,1
3,3,1,4,12,3,3,3,18,1
2,4,1,3,11,4,3,5,24,1
4,4,1,1,3,5,3,1,31,1
2,2,2,1,3,3,3,3,50,1
2,2,2,1,2,1,2,5,80,1
2,2,2,1,11,3,3,5,54,1
3,3,1,3,11,4,3,1,15,1
3,3,2,2,9,5,3,3,37,1
3,2,2,2,3,3,3,4,25,1
1,1,1,3,13,4,3,3,10,1
9,9,2,3,11,3,3,1,9,1
3,4,1,3,9,9,3,2,36,1
4,3,2,2,13,5,3,1,5,2
3,3,1,2,9,5,3,1,12,1
3,3,2,2,12,5,3,3,36,1
4,3,1,2,11,5,3,3,36,1
4,4,1,3,13,4,3,2,20,2
2,2,2,2,11,9,3,3,40,1
4,3,2,2,5,2,2,5,20,1
4,4,1,3,11,2,3,5,46,1
2,1,1,2,9,5,3,2,20,2
5,4,1,3,9,4,3,4,36,1
3,2,2,3,11,1,3,4,28,1
3,2,1,3,9,9,3,4,37,2
3,2,1,2,11,5,3,1,15,2
3,9,2,2,11,1,3,5,63,2
2,2,1,2,13,5,3,5,76,2
3,4,2,2,12,2,3,4,40,1
3,3,1,1,3,3,2,4,55,2
4,2,1,2,9,5,3,3,35,1
4,3,2,2,10,5,3,3,38,2
2,1,1,2,9,5,3,1,20,1
2,3,2,2,9,2,2,3,51,1
4,3,1,2,11,4,3,4,5,1
3,3,2,2,9,5,3,4,30,1
9,3,1,3,11,4,3,5,34,1
2,2,1,2,9,2,2,5,77,2
1,1,2,1,3,5,3,1,19,1
3,1,2,2,14,9,3,2,40,2
3,3,2,2,11,5,3,1,12,1
2,2,2,4,3,3,3,1,18,2
3,2,1,2,9,5,3,2,0,1
3,2,1,3,10,3,3,5,63,2
3,3,1,2,11,5,3,4,40,1
4,3,2,2,13,5,3,2,8,2
5,4,1,2,12,5,3,2,36,1
2,2,1,2,11,3,3,5,39,1
3,3,2,2,11,5,3,4,56,1
3,3,2,3,10,2,3,1,23,2
4,3,1,2,12,5,3,3,34,2
1,1,2,3,5,2,9,2,30,1
4,4,2,2,12,5,3,2,30,1
1,1,1,1,9,4,3,3,39,1
3,3,2,3,9,3,3,4,63,2
3,2,2,2,5,3,2,3,40,1
2,2,2,3,3,1,3,3,25,2
1,2,1,2,10,3,3,4,33,2
9,2,2,3,14,3,2,1,16,2
3,3,2,3,5,1,1,4,40,2
4,3,1,3,12,5,3,4,10,1
4,2,2,3,9,4,3,1,11,1
2,2,1,3,2,4,3,2,21,1
3,3,1,3,12,4,3,5,48,1
3,2,2,2,11,5,3,5,39,1
3,3,1,3,9,4,3,3,36,1
1,1,1,3,11,4,3,1,5,1
4,3,1,2,9,9,3,2,23,2
3,2,1,2,9,5,3,1,25,2
1,2,1,3,3,4,3,2,6,2
2,1,2,2,9,5,3,4,37,1
4,2,1,2,9,5,3,2,1,2
4,4,1,2,9,9,3,5,50,2
2,2,2,2,13,2,3,5,59,2
3,2,2,2,9,5,3,3,25,1
2,3,1,2,11,5,3,9,25,1
1,3,1,2,9,5,3,1,10,1
2,2,2,3,11,3,3,5,15,1
2,2,1,3,1,3,3,3,40,1
3,1,1,2,9,5,9,2,10,1
1,1,2,3,9,2,3,5,78,1
5,5,1,2,11,5,3,4,36,1
3,3,1,2,11,5,3,2,37,2
3,3,2,3,1,2,3,1,20,1
3,4,1,3,14,2,3,5,70,1
2,2,2,3,9,4,3,3,23,1
4,3,1,2,9,5,3,2,42,1
2,4,1,3,11,5,3,4,35,1
4,4,1,1,5,1,2,5,78,2
3,9,2,3,5,3,3,2,16,1
4,4,1,2,11,9,3,4,57,1
3,2,1,4,5,1,2,3,40,1
4,3,1,2,11,5,3,1,6,1
4,3,2,1,14,4,3,4,36,1
1,1,2,1,5,1,1,1,17,2
3,3,2,1,3,2,3,4,31,1
3,2,1,2,10,5,3,1,3,1
3,3,1,3,11,3,3,4,32,1
3,3,1,2,11,3,3,2,20,1
3,3,2,1,3,2,2,3,52,1
3,3,1,3,13,9,9,5,21,2
9,9,1,1,8,1,1,5,33,1
2,2,1,3,3,1,3,4,64,2
4,4,2,1,5,1,3,4,56,1
4,4,2,1,8,2,3,1,25,2
4,4,2,2,9,5,3,1,15,2
3,2,2,3,11,5,3,5,54,2
3,3,2,2,9,5,3,3,38,1
4,4,1,2,10,3,3,5,50,1
3,3,2,3,1,5,3,1,9,1
4,3,1,2,12,5,3,1,6,1
1,1,2,2,11,5,9,4,48,2
2,2,1,2,11,5,3,5,72,2
4,4,2,4,9,5,3,4,13,1
3,3,1,2,9,5,3,2,29,2
4,4,2,3,1,2,2,3,46,1
3,3,2,3,9,2,3,3,38,1
2,3,1,3,6,1,1,5,46,1
5,4,1,3,11,4,3,3,40,1
3,1,1,3,5,1,2,3,40,2
1,2,2,3,5,1,2,4,54,1
4,4,1,1,4,3,3,4,62,1
4,3,1,3,9,3,3,1,21,2
4,4,1,2,11,5,3,1,18,1
3,3,2,3,11,5,3,1,12,1
4,2,1,2,12,5,3,1,12,1
1,2,1,4,3,9,9,3,52,1
4,3,1,1,3,5,3,2,31,1
4,4,1,2,5,1,2,4,55,2
3,2,1,2,9,5,3,1,25,1
4,3,1,2,13,5,3,5,61,2
3,3,2,1,2,2,3,4,60,1
2,2,2,2,12,2,3,5,46,2
1,1,2,1,3,3,3,2,27,2
4,4,2,3,11,4,3,4,31,1
2,2,1,2,11,5,2,2,6,1
3,3,2,1,8,3,3,2,42,1
3,3,2,2,9,9,3,3,4,1
2,2,2,2,9,5,3,2,25,1
2,3,1,3,5,1,3,3,40,2
3,1,1,2,11,5,3,3,50,1
9,1,2,3,11,4,3,2,20,2
4,3,1,2,11,5,3,5,45,2
2,2,1,3,9,1,2,5,57,2
3,3,1,4,11,5,3,5,43,2
1,1,9,1,8,1,3,5,54,2
2,2,1,2,6,5,3,4,61,2
3,1,1,2,13,5,3,3,38,2
4,3,2,2,9,5,3,1,23,2
5,3,1,3,5,1,1,1,24,1
4,3,1,2,1,9,3,3,22,2
2,2,2,1,4,3,3,4,30,1
3,3,1,2,1,5,3,1,25,1
5,4,1,1,3,5,3,2,20,1
2,2,1,1,5,3,2,4,61,1
2,2,2,1,8,1,3,2,30,2
1,1,2,3,2,9,9,4,62,1
2,3,1,3,5,2,3,1,26,1
3,3,2,2,3,3,3,4,42,1
2,2,2,1,2,2,3,4,64,2
3,3,2,3,13,4,3,2,23,2
2,2,2,1,1,3,2,1,29,1
3,3,2,3,12,9,1,2,32,1
3,3,2,2,5,2,2,4,37,2
3,3,1,2,9,5,3,3,30,2
2,2,1,3,13,4,3,5,55,1
3,3,1,1,8,2,3,3,39,1
3,3,2,1,8,1,2,4,53,2
9,9,1,1,8,9,3,2,29,1
2,2,2,1,5,2,3,9,50,1
1,2,1,1,8,4,3,4,64,1
4,4,1,1,3,3,3,3,24,1
3,3,2,1,3,1,3,3,43,1
2,3,2,2,11,5,3,4,40,2
2,2,2,1,8,3,3,1,18,1
4,4,2,3,1,4,3,3,40,1
2,1,1,2,11,5,3,5,44,2
3,3,1,1,8,1,2,5,75,1
3,2,1,3,1,3,3,1,25,2
9,2,2,1,8,2,2,2,28,1
1,1,1,3,1,4,2,5,52,2
4,4,1,3,3,2,2,4,61,1
3,3,2,1,5,3,3,3,41,1
3,2,1,1,3,4,3,2,27,2
5,5,2,1,3,4,3,2,36,1
2,2,2,1,8,2,2,3,51,2
3,4,1,1,8,3,3,4,42,1
2,2,2,1,8,9,9,1,20,1
2,2,1,2,3,3,3,2,44,2
5,4,2,2,9,2,3,3,50,2
4,3,1,4,8,2,3,3,12,2
4,4,2,1,3,5,3,2,31,2
3,3,2,1,8,9,3,4,60,2
3,3,1,1,8,5,3,1,20,1
1,1,2,1,8,2,3,1,33,1
2,2,2,3,2,1,3,5,58,1
1,1,1,3,5,3,2,2,39,1
2,2,1,2,3,2,3,5,14,1
4,4,1,2,11,5,2,1,15,2
2,2,2,1,5,1,3,3,30,1
2,2,1,2,6,5,3,5,60,2
4,3,1,1,8,1,3,3,11,2
3,2,2,1,8,1,3,9,999,1
9,2,2,3,3,3,3,2,23,1
2,3,2,4,2,2,3,5,59,9
2,2,2,9,5,9,9,2,30,1
4,3,1,2,11,5,3,3,38,1
3,2,1,2,13,5,3,2,26,1
4,4,2,2,13,5,2,3,52,2
3,3,1,2,11,9,9,3,30,1
3,3,1,2,3,4,3,5,34,1
2,2,1,3,8,3,3,1,24,2
3,3,2,1,8,1,3,2,38,2
2,1,1,1,8,1,1,2,43,2
9,9,2,4,8,9,2,3,25,2
4,2,1,2,11,5,3,2,33,1
4,2,1,3,11,3,3,2,7,1
1,1,1,1,8,9,3,2,999,1
2,2,2,3,3,1,3,4,45,1
3,4,1,3,11,5,3,4,40,1
2,2,2,3,11,2,3,2,42,2
2,1,2,3,11,3,3,2,42,1
2,1,1,1,2,4,3,1,7,1
1,1,1,2,3,2,3,4,37,2
2,2,2,3,3,2,3,1,19,9
2,2,2,2,11,5,3,4,36,1
3,3,2,3,11,3,3,3,21,2
4,4,1,2,12,3,3,5,31,1
2,2,2,1,8,3,3,2,37,1
2,2,2,1,8,3,3,2,38,1
4,4,1,3,12,4,3,3,35,2
1,1,1,3,8,4,3,3,47,1
2,2,2,1,8,4,3,4,64,1
1,2,2,1,8,5,3,1,999,1
1,1,2,1,8,2,2,2,42,2
4,4,2,1,2,9,3,3,47,1
4,4,1,2,11,9,3,5,30,2
3,3,1,2,5,1,2,5,33,1
4,3,1,3,2,1,1,3,25,1
2,2,2,1,8,1,2,4,52,1
1,2,1,3,5,1,3,4,47,1
4,4,1,2,11,2,3,5,30,2
2,2,2,1,8,3,3,1,15,1
2,2,2,1,8,3,3,4,43,1
3,3,1,2,12,3,3,5,72,1
2,3,1,4,8,4,3,4,41,2
5,5,1,1,8,1,9,3,46,1
4,4,1,2,13,3,3,2,42,2
5,4,2,4,8,5,3,2,22,1
3,2,2,1,8,4,3,5,55,2
4,2,2,1,7,1,3,1,20,1
4,4,1,2,13,5,3,5,48,1
2,1,1,1,8,2,3,2,27,1
2,2,2,3,11,9,2,4,32,1
4,4,1,3,5,1,3,3,44,1
3,3,2,2,11,2,3,2,12,1
1,1,2,3,5,1,3,1,33,9
2,1,2,1,8,2,3,3,38,1
1,1,2,3,8,1,3,3,54,2
2,2,2,2,11,5,3,5,40,2
2,3,1,3,11,1,3,1,25,2
3,2,2,3,11,4,3,1,1,2
2,2,2,2,10,9,3,3,28,1
4,3,1,3,9,5,3,2,31,1
2,1,1,1,8,1,2,5,56,2
9,2,2,2,9,5,3,5,40,1
5,5,1,2,8,3,1,9,60,1
1,1,1,1,8,3,3,2,21,1
3,3,2,1,7,1,1,1,15,1
1,2,2,1,7,5,3,5,68,1
3,3,2,2,9,5,3,3,54,1
1,1,1,1,3,3,3,2,15,1
2,3,1,2,13,5,2,5,45,1
3,3,1,3,5,2,2,3,20,1
3,3,2,1,8,9,2,4,62,1
2,2,1,1,4,3,3,5,47,2
1,2,2,1,9,1,3,2,44,2
2,3,2,3,1,1,2,2,35,1
1,1,2,1,6,2,3,2,17,2
1,2,1,1,8,9,3,3,53,1
2,2,2,2,7,1,3,3,17,2
1,3,2,3,1,3,1,2,30,2
2,2,2,3,1,1,3,1,19,1
3,3,2,2,7,9,1,4,49,1
4,2,2,3,9,4,3,3,26,1
9,9,2,3,1,2,3,1,24,1
5,5,2,2,10,3,3,1,7,1
4,3,2,2,9,5,3,4,35,1
3,3,2,3,1,3,2,2,41,1
3,3,1,2,13,5,3,3,25,1
4,4,2,2,9,5,3,4,2,1
9,2,1,2,9,5,3,9,50,1
4,4,2,3,5,5,1,3,21,1
3,3,2,3,5,3,3,1,26,1
3,2,1,3,3,4,1,2,32,2
5,5,2,1,8,1,3,1,12,2
1,1,1,3,9,9,3,2,25,1
2,3,2,1,8,3,2,3,47,1
2,2,1,3,6,2,3,1,26,2
2,1,2,2,9,5,3,2,20,2
1,3,1,3,4,1,2,3,54,1
4,3,2,3,10,1,3,4,47,1
2,2,2,1,10,2,3,4,50,1
2,1,1,3,13,3,3,3,40,2
3,3,1,3,3,5,3,3,39,2
2,2,9,3,5,1,1,2,29,1
3,3,1,3,3,3,3,3,26,1
3,3,2,2,10,5,3,1,8,1
4,3,1,3,10,4,3,2,8,1
3,2,2,1,3,2,3,3,53,2
3,4,1,2,11,5,3,5,43,2
3,2,1,2,13,4,3,3,30,1
4,3,1,2,10,3,3,4,10,2
3,2,1,3,9,4,3,1,3,1
2,1,2,3,10,1,3,5,58,2
2,1,2,3,5,1,1,4,37,2
4,4,2,2,14,3,3,1,25,2
2,1,1,2,10,3,3,1,1,1
4,1,1,1,3,4,3,3,15,2
2,2,1,1,3,5,3,3,51,2
3,4,1,3,10,9,3,3,30,1
3,2,2,3,13,2,3,3,54,2
1,1,2,1,8,1,2,3,50,2
2,2,2,3,10,2,3,5,46,1
1,2,2,3,13,3,3,2,37,2
4,3,2,3,10,4,3,2,38,1
4,4,2,3,5,9,9,4,52,1
2,2,1,2,10,4,3,5,43,1
3,3,1,3,3,3,1,3,10,1
2,3,1,3,5,2,2,2,25,1
2,2,1,3,5,1,1,1,22,2
3,2,2,2,13,1,3,3,40,2
4,3,2,2,10,2,3,2,25,2
4,4,1,2,10,9,3,4,58,1
3,4,2,2,9,3,3,4,56,2
2,2,2,3,5,2,2,4,59,1
3,4,2,2,9,3,3,1,18,1
2,2,1,2,10,9,3,2,33,1
2,1,1,2,10,9,3,3,30,1
4,4,1,3,10,3,3,5,40,1
4,3,2,2,9,5,3,3,39,1
9,3,1,3,6,1,1,3,38,1
3,3,1,3,9,3,1,2,25,2
4,3,1,2,10,5,3,2,30,1
2,1,1,3,10,2,1,1,17,2
4,4,1,2,10,5,3,4,40,1
3,3,2,3,10,2,3,4,32,2
3,3,2,3,10,2,3,2,25,2
4,4,1,1,8,3,3,5,45,1
1,1,2,1,10,1,2,4,28,2
3,3,1,2,10,5,3,1,27,1
2,2,1,2,10,5,3,1,8,2
4,3,1,2,10,5,3,3,14,1
4,3,1,2,10,5,3,1,8,2
9,4,1,1,8,1,2,4,40,1
2,2,2,1,4,9,3,4,50,1
3,3,2,3,13,9,3,1,7,1
3,2,1,2,10,5,3,3,40,1
4,4,2,3,10,3,3,4,45,1
4,4,2,2,10,4,3,4,45,1
1,1,1,2,1,1,3,5,20,2
3,3,2,1,4,1,2,4,49,1
3,3,1,3,9,9,3,4,60,2
4,3,2,2,9,5,3,9,30,1
3,3,1,2,10,5,3,5,51,1
4,3,1,3,10,5,3,3,38,1
4,4,2,2,10,2,3,2,22,1
3,3,1,2,10,9,3,5,41,2
4,3,1,2,10,4,3,1,3,1
3,3,2,3,10,3,3,3,42,2
3,3,2,2,10,5,3,2,16,1
5,2,1,2,10,5,3,1,21,2
3,2,2,1,10,2,2,4,48,1
4,3,2,2,10,4,3,4,40,2
4,4,2,2,10,3,2,3,50,1
1,2,1,2,9,3,3,5,42,1
3,3,2,1,4,4,3,9,50,1
1,1,2,3,1,2,2,3,43,2
3,2,1,1,10,3,3,4,61,2
4,4,1,2,10,3,3,4,11,1
3,3,1,3,8,2,1,5,83,2
2,1,2,3,10,3,3,2,34,1
2,3,2,2,10,5,3,4,23,1
3,4,2,2,10,5,3,2,39,1
1,1,1,1,4,4,3,5,72,2
1,1,2,3,9,4,3,2,32,1
2,2,1,4,6,5,3,5,21,1
2,3,2,3,8,1,3,1,27,2
4,4,2,2,10,4,3,1,8,1
2,2,2,3,6,3,3,4,20,2
4,3,1,3,10,5,3,3,30,1
4,3,1,2,10,5,3,1,23,2
2,2,2,1,10,3,3,4,60,1
2,2,2,3,4,1,2,4,47,2
4,4,2,2,9,1,3,5,25,1
4,4,1,4,10,9,3,2,20,1
1,1,1,3,8,3,3,3,51,1
3,3,2,2,10,4,3,4,55,1
4,4,1,2,6,5,3,3,36,1
4,3,2,2,10,5,3,3,999,2
9,2,2,2,1,3,3,1,13,1
1,1,1,2,7,3,3,4,25,1
3,2,2,2,10,5,3,2,29,1
2,3,1,1,4,3,3,1,4,1
4,3,1,3,9,1,3,5,43,2
2,2,1,2,9,2,3,5,71,1
3,3,2,2,10,2,3,2,37,1
2,3,2,2,10,5,3,3,26,1
2,2,2,3,2,1,1,1,23,1
4,3,2,2,10,2,3,5,70,1
4,4,2,3,6,4,3,4,62,2
3,3,1,3,9,3,3,2,29,2
3,3,1,2,9,5,3,3,36,1
1,1,1,2,9,5,3,3,52,1
2,2,2,2,10,5,3,2,38,2
1,3,2,2,9,5,3,1,16,1
1,1,1,2,10,5,3,4,57,1
3,1,1,1,7,3,3,2,26,2
2,2,2,1,7,1,1,4,63,1
2,2,1,2,10,5,3,1,999,1
3,3,1,1,3,3,3,1,26,9
2,2,2,1,7,1,1,1,10,2
2,2,1,9,10,4,3,5,64,1
2,3,1,2,10,5,3,3,42,2
3,2,1,2,9,5,3,2,30,1
2,2,1,2,10,5,3,4,47,1
1,2,2,3,7,2,3,3,35,2
4,3,1,2,10,5,3,4,61,2
3,2,2,1,4,5,2,4,60,1
3,2,2,3,10,5,3,2,40,2
3,3,2,1,7,4,3,2,30,1
2,1,2,2,9,2,3,4,46,1
2,2,1,3,10,3,3,5,46,2
1,2,1,3,7,1,1,4,999,1
3,4,1,3,10,3,3,3,38,2
3,3,2,2,10,5,3,5,54,2
9,4,2,3,10,9,9,1,17,1
1,1,2,4,7,9,9,3,47,1
9,9,1,2,10,5,3,5,46,1
3,3,2,2,10,5,3,2,41,1
2,2,2,3,9,5,3,5,54,2
2,2,2,2,10,5,3,1,20,1
2,1,1,2,10,9,3,4,40,1
9,9,1,2,10,1,3,4,13,2
4,4,1,2,10,5,3,1,18,1
4,3,1,2,6,5,3,1,13,1
4,2,2,2,10,9,3,2,36,2
2,2,1,1,6,2,3,1,17,2
3,3,1,3,10,2,3,1,10,1
4,4,1,2,9,2,3,4,34,1
2,1,2,3,10,2,3,1,12,2
3,3,1,3,6,2,2,1,27,2
4,4,2,2,10,5,3,3,34,1
2,2,1,2,9,5,3,3,19,2
4,4,1,2,10,5,3,2,31,1
1,1,2,3,6,1,3,3,52,2
1,1,1,3,6,2,3,1,24,2
4,2,1,2,10,5,3,3,44,1
2,2,2,2,7,2,3,3,35,1
2,3,2,2,10,3,3,3,50,2
3,2,2,3,9,1,2,5,999,2
3,3,2,3,6,4,3,2,18,1
3,3,1,2,6,5,3,2,37,2
4,3,2,2,10,3,3,4,60,1
2,2,2,2,10,3,3,4,58,1
5,5,1,3,6,2,2,2,30,1
3,4,2,3,6,2,3,3,42,1
1,1,1,3,9,1,3,2,20,1
4,4,1,2,10,5,3,3,27,1
3,4,1,2,6,1,3,5,75,2
2,2,2,3,6,3,3,2,41,2
2,1,1,3,6,3,3,2,27,1
4,4,2,2,9,3,3,5,44,2
2,2,1,3,13,4,3,1,28,1
2,2,2,1,4,9,3,3,53,1
1,1,1,3,9,9,9,9,53,1
4,3,1,3,13,5,3,3,34,1
4,3,2,3,1,4,3,2,6,2
1,2,1,3,5,3,3,4,61,1
3,3,1,2,11,9,3,5,999,9
2,2,2,1,7,2,2,3,45,1
2,2,1,3,12,4,3,5,32,2
2,3,2,3,5,4,3,3,54,1
2,1,1,3,13,4,3,3,36,1
