Source,Target
26,1
3,2
15,2
56,2
62,2
2,3
10,3
13,3
25,3
33,3
36,3
44,3
54,3
70,3
11,4
7,5
17,6
34,6
5,7
22,7
27,7
83,7
45,8
29,9
3,10
4,11
16,11
56,12
3,13
25,13
38,13
51,13
42,14
45,14
57,14
2,15
18,15
24,15
27,15
34,15
54,15
11,16
6,17
31,17
36,17
76,17
79,17
15,18
24,18
41,18
54,18
56,18
92,19
23,20
68,21
7,22
27,22
20,23
15,24
18,24
27,24
39,24
41,24
45,24
54,24
56,24
61,24
63,24
90,24
92,24
3,25
13,25
1,26
60,26
67,26
85,26
92,26
7,27
15,27
22,27
24,27
54,27
87,28
9,29
32,29
42,29
43,30
17,31
36,31
76,31
79,31
29,32
42,32
52,32
57,32
3,33
6,34
15,34
41,34
45,34
54,34
64,34
92,34
54,35
3,36
17,36
31,36
44,36
46,36
54,36
67,36
69,36
76,36
79,36
41,37
42,37
45,37
49,37
54,37
56,37
57,37
62,37
64,37
83,37
94,37
13,38
24,39
54,39
67,39
82,39
90,39
41,40
54,40
59,40
61,40
64,40
88,40
97,40
18,41
24,41
34,41
37,41
40,41
48,41
50,41
54,41
61,41
63,41
64,41
72,41
83,41
86,41
88,41
89,41
90,41
94,41
14,42
29,42
32,42
37,42
45,42
52,42
55,42
57,42
30,43
3,44
36,44
45,44
54,44
59,44
97,44
8,45
14,45
24,45
34,45
37,45
42,45
44,45
47,45
55,45
56,45
57,45
83,45
97,45
36,46
61,46
45,47
41,48
37,49
83,49
41,50
72,50
89,50
13,51
32,52
42,52
57,52
61,52
92,52
54,53
3,54
15,54
18,54
24,54
27,54
34,54
35,54
36,54
37,54
39,54
40,54
41,54
44,54
53,54
57,54
58,54
61,54
63,54
64,54
66,54
76,54
42,55
45,55
71,55
2,56
12,56
18,56
24,56
37,56
45,56
61,56
76,56
83,56
89,56
14,57
32,57
37,57
42,57
45,57
52,57
54,57
63,57
54,58
82,58
90,58
93,58
40,59
44,59
85,59
26,60
84,60
87,60
24,61
40,61
41,61
46,61
52,61
54,61
56,61
66,61
83,61
2,62
37,62
24,63
41,63
54,63
57,63
34,64
37,64
40,64
41,64
54,64
76,64
68,65
54,66
61,66
68,66
26,67
36,67
39,67
68,67
69,67
76,67
85,67
92,67
21,68
65,68
66,68
67,68
87,68
92,68
36,69
67,69
76,69
3,70
55,71
41,72
50,72
89,72
79,73
80,73
81,73
87,73
91,73
92,73
87,74
81,75
17,76
31,76
36,76
54,76
56,76
64,76
67,76
69,76
79,76
78,77
82,77
77,78
91,78
17,79
31,79
36,79
73,79
76,79
73,80
81,80
87,80
92,80
73,81
75,81
80,81
91,81
92,81
39,82
58,82
77,82
90,82
93,82
94,82
7,83
37,83
41,83
45,83
49,83
56,83
61,83
89,83
94,83
60,84
26,85
59,85
67,85
92,85
41,86
28,87
60,87
68,87
73,87
74,87
80,87
92,87
40,88
41,88
41,89
50,89
56,89
72,89
83,89
92,89
24,90
39,90
41,90
58,90
82,90
93,90
73,91
78,91
81,91
92,91
19,92
24,92
26,92
34,92
52,92
67,92
68,92
73,92
80,92
81,92
85,92
87,92
89,92
91,92
58,93
82,93
90,93
37,94
41,94
82,94
83,94
96,95
95,96
40,97
44,97
45,97