Id,TotalInc,Attended,impact,Prob_or_Par
1,2,1,0,1
2,14,0,0,0
3,15,1,0,1
4,2,0,0,0
5,4,0,0,1
6,6,0,0,0
7,8,0,0,0
8,7,0,1,0
9,4,0,0,0
10,4,0,0,0
11,7,0,0,0
12,11,0,1,0
13,23,0,1,0
14,7,0,0,1
15,7,1,0,1
16,3,0,0,0
17,11,1,0,1
18,14,0,1,0
19,3,1,1,1
20,11,0,0,1
21,6,0,0,0
22,7,0,0,0
23,3,1,0,1
24,12,0,0,0
25,18,0,1,1
26,7,1,0,1
27,3,0,0,0
28,4,0,1,1
29,4,0,0,0
30,2,0,1,1
31,4,0,1,0
32,9,0,0,0
33,5,0,0,0
34,9,0,1,1
35,5,0,1,0
36,14,0,0,0
37,21,0,1,0
38,6,0,0,0
39,7,0,0,0
40,18,0,1,0
41,35,0,1,0
42,14,0,0,0
43,3,1,1,0
44,8,0,0,1
45,16,1,1,1
46,15,1,0,1
47,9,1,0,0
48,6,0,0,0
49,9,0,1,0
50,6,0,0,0
51,3,0,0,0
52,11,1,0,1
53,11,0,1,1
54,44,1,1,0
55,8,0,0,0
56,14,1,1,1
57,12,1,1,1
58,4,0,1,0
59,6,0,0,0
60,7,1,1,0
61,26,1,0,1
62,6,0,1,0
63,8,0,0,0
64,16,0,0,0
65,2,0,0,0
66,7,0,1,1
67,8,1,0,1
68,15,1,0,1
69,7,1,0,1
70,6,0,0,0
71,7,0,0,1
72,12,0,0,0
73,6,1,0,1
74,6,0,1,0
75,5,0,0,0
76,13,0,1,0
77,4,0,1,0
78,6,0,1,1
79,6,0,0,0
80,7,0,1,0
81,4,1,0,0
82,7,0,0,0
83,12,0,0,0
84,5,0,0,0
85,6,0,1,0
86,3,0,0,0
87,20,1,1,1
88,7,0,0,0
89,6,0,0,0
90,8,1,1,0
91,8,0,0,0
92,23,0,1,0
93,4,0,0,0
94,9,0,0,0
95,5,0,1,0
96,9,0,1,0
97,4,0,1,0